OTU_ID	Kingdom	Supergroup	Phylum	Class	Subclass	Order	Suborder	Family	Genus	Species	1-200-3	1-200-8	1-300-0.22	1-60-3	10-20-0.22	10-20-3
a8651618911e5bb5d1066e5abca8f322	Eukaryota	Archaeplastida	Streptophyta	Embryophyceae	rosids	Malpighiales	Malpighiales_X	unknown Malpighiales_X	unknown Malpighiales_X	unknown Malpighiales_X	0	0	0	49	0	0
a90268a55b92cdf24a7be460a63b6f60	Eukaryota	Archaeplastida	Streptophyta	Embryophyceae	rosids	Malpighiales	Malpighiales_X	unknown Malpighiales_X	unknown Malpighiales_X	unknown Malpighiales_X	0	0	0	15	0	0
b416afc0c7d7e063bf323a27e6baf9f2	Eukaryota	Archaeplastida	Streptophyta	Embryophyceae	rosids	Malpighiales	Malpighiales_X	unknown Malpighiales_X	unknown Malpighiales_X	unknown Malpighiales_X	0	0	0	7	0	0
b8a41f8c1a4c3c64627b23cc4283cab3	Eukaryota	Archaeplastida	Streptophyta	Embryophyceae	rosids	Malpighiales	Malpighiales_X	unknown Malpighiales_X	unknown Malpighiales_X	unknown Malpighiales_X	0	0	0	7	0	0
ba400394b965120192bbadd2a2a448f2	Eukaryota	Archaeplastida	Streptophyta	Embryophyceae	rosids	Malpighiales	Malpighiales_X	unknown Malpighiales_X	unknown Malpighiales_X	unknown Malpighiales_X	0	0	0	19	0	0
c11382dbe93c5cf9e98818644c10014b	Eukaryota	Archaeplastida	Streptophyta	Embryophyceae	rosids	Malpighiales	Malpighiales_X	unknown Malpighiales_X	unknown Malpighiales_X	unknown Malpighiales_X	0	0	0	82	0	0
c2e7ebd035fbe45b5907c54f9305ade3	Eukaryota	Archaeplastida	Streptophyta	Embryophyceae	rosids	Malpighiales	Malpighiales_X	unknown Malpighiales_X	unknown Malpighiales_X	unknown Malpighiales_X	0	0	0	36	0	0
cf8fbae565e89e02600214e1e706b2a1	Eukaryota	Archaeplastida	Streptophyta	Embryophyceae	rosids	Malpighiales	Malpighiales_X	unknown Malpighiales_X	unknown Malpighiales_X	unknown Malpighiales_X	0	0	0	42	0	0
dd4f77cf004b652cd0249d3cca86060c	Eukaryota	Archaeplastida	Streptophyta	Embryophyceae	rosids	Malpighiales	Malpighiales_X	unknown Malpighiales_X	unknown Malpighiales_X	unknown Malpighiales_X	0	0	0	128	0	0
f3e5c153f1c54fd1ded5f92dea9360a0	Eukaryota	Archaeplastida	Streptophyta	Embryophyceae	rosids	Malpighiales	Malpighiales_X	unknown Malpighiales_X	unknown Malpighiales_X	unknown Malpighiales_X	0	0	0	36	0	0
f3f605a3ada5c432cd5304d869631932	Eukaryota	Archaeplastida	Streptophyta	Embryophyceae	rosids	Malpighiales	Malpighiales_X	unknown Malpighiales_X	unknown Malpighiales_X	unknown Malpighiales_X	0	0	0	0	11	0
