OTU_ID	Kingdom	Supergroup	Phylum	Class	Subclass	Order	Suborder	Family	Genus	Species	1-200-3	1-200-8	1-300-0.22	1-60-3	10-20-3
2a969b405d612c871859090a501893a2	Eukaryota	Opisthokonta	Metazoa	Arthropoda	Crustacea	Maxillopoda	Maxillopoda organism	Maxillopoda organism	Maxillopoda organism	Maxillopoda organism	0	200	0	0	0
0a3836a565b123d4e90d5053795e50ac	Eukaryota	Opisthokonta	Metazoa	Arthropoda	Crustacea	Maxillopoda	Clausocalanus	Cfurcatus	Cfurcatus organism	Cfurcatus organism	0	170	0	0	0
97cf77f3a70bc2457a4611e1b0e7d283	Eukaryota	Alveolata	Dinoflagellata	Syndiniales	Dino-Group-II	Dino-Group-II-Clade-22	Dino-Group-II-Clade-22X	Dino-Group-II-Clade-22Xsp.	Dino-Group-II-Clade-22Xsp. organism	Dino-Group-II-Clade-22Xsp. organism	0	0	0	15	0
de527f9f86e968457b50b26ec7884986	Eukaryota	Alveolata	Dinoflagellata	Syndiniales	Dino-Group-I	Dino-Group-I-Clade-1	Dino-Group-I-Clade-1X	Dino-Group-I-Clade-1Xsp.	Dino-Group-I-Clade-1Xsp. organism	Dino-Group-I-Clade-1Xsp. organism	0	5	0	8	0
bd7bfd4724b9487abbde51e494af9091	Eukaryota	Opisthokonta	Metazoa	Arthropoda	Crustacea	Maxillopoda	Oithona	Osp.	Osp. organism	Osp. organism	0	24	0	0	0
1488e2f4eaf377a6e23fab1bee8a4f6b	Eukaryota	Rhizaria	Radiolaria	Acantharea	Acantharea-Group-I	Acantharea-Group-IX	Acantharea-Group-IXX	Acantharea-Group-IXXsp.	Acantharea-Group-IXXsp. organism	Acantharea-Group-IXXsp. organism	0	32	0	0	0
83a8f8f52db5eb36da92fc1df8d9e33f	Eukaryota	Opisthokonta	Metazoa	Arthropoda	Crustacea	Maxillopoda	Maxillopoda organism	Maxillopoda organism	Maxillopoda organism	Maxillopoda organism	0	30	0	0	0
34f63ebed43faf4a0467947b312e4206	Eukaryota	Opisthokonta	Fungi	Ascomycota	Pezizomycotina	Sordariomycetes	Sordariomycetes organism	Sordariomycetes organism	Sordariomycetes organism	Sordariomycetes organism	9	31	11	0	0
f0ebeb17a68afd6e8f000390c93d7937	Eukaryota	Alveolata	Ciliophora	Colpodea	CX	Colpodida	Colpoda	Csteinii	Csteinii organism	Csteinii organism	8	0	0	0	0
354c7da2e0911806b5f11bcac372e187	Eukaryota	Rhizaria	Radiolaria	Acantharea	Acantharea-Group-I	Acantharea-Group-IX	Acantharea-Group-IXX	Acantharea-Group-IXXsp.	Acantharea-Group-IXXsp. organism	Acantharea-Group-IXXsp. organism	0	30	0	0	0
20e21cdb951f7c21d0602891892373ed	Eukaryota	Opisthokonta	Metazoa	Cnidaria	CX	Hydrozoa	Hydrozoa organism	Hydrozoa organism	Hydrozoa organism	Hydrozoa organism	0	119	0	0	0
0b4b9c614cabd4b0178dcd134242510e	Eukaryota	Hacrobia	Telonemia	TX	TXX	Telonemia-Group-2	Telonemia-Group-2X	Telonemia-Group-2Xsp.	Telonemia-Group-2Xsp. organism	Telonemia-Group-2Xsp. organism	0	10	0	0	0
816abd90714636718fa817c9b630214e	Eukaryota	Alveolata	Dinoflagellata	Syndiniales	Dino-Group-II	Dino-Group-II-Clade-10-and-11	Dino-Group-II-Clade-10-and-11X	Dino-Group-II-Clade-10-and-11Xsp.	Dino-Group-II-Clade-10-and-11Xsp. organism	Dino-Group-II-Clade-10-and-11Xsp. organism	0	0	0	31	0
edcc19808f45767e65ace3785cb245ac	Eukaryota	Alveolata	Dinoflagellata	Syndiniales	Dino-Group-I	Dino-Group-I-Clade-4	Dino-Group-I-Clade-4X	Dino-Group-I-Clade-4Xsp.	Dino-Group-I-Clade-4Xsp. organism	Dino-Group-I-Clade-4Xsp. organism	0	7	0	0	0
3814a677c6e3c39bbd071d8d34ff7707	Eukaryota	Alveolata	Dinoflagellata	Syndiniales	Dino-Group-II	Dino-Group-II-Clade-10-and-11	Dino-Group-II-Clade-10-and-11X	Dino-Group-II-Clade-10-and-11Xsp.	Dino-Group-II-Clade-10-and-11Xsp. organism	Dino-Group-II-Clade-10-and-11Xsp. organism	0	0	0	80	0
