#OTUID	taxonomy	confidence
d6582082710489bc5e47152344a1f1fd	 kingdom_Eukaryota;supergroup_Rhizaria;division_Radiolaria;class_RAD-A;order_RAD-A_X;family_RAD-A_XX;genus_RAD-A_XXX;species_RAD-A_XXX_sp.	0.9999999994851123
e8482cb200e020751ca7e5b39c2fb15a	 kingdom_Eukaryota;supergroup_Opisthokonta;division_Metazoa;class_Arthropoda;order_Crustacea;family_Maxillopoda;genus_Calocalanus;species_Calocalanus_sp.	0.9761541631942618
866b17253ed017760dcd4db99ee6ed10	 kingdom_Eukaryota;supergroup_Alveolata;division_Dinoflagellata;class_Dinophyceae;order_Gymnodiniales;family_Gymnodiniaceae;genus_Gyrodinium	0.8576670678736276
883cad2a5588fa0eae35b9c7e03ddbe4	 kingdom_Eukaryota;supergroup_Opisthokonta;division_Metazoa;class_Arthropoda;order_Crustacea;family_Maxillopoda;genus_Calocalanus;species_Calocalanus_sp.	0.9999001531155676
0731f28a508f553cd6e7585275736854	 kingdom_Eukaryota;supergroup_Opisthokonta;division_Metazoa;class_Arthropoda;order_Crustacea;family_Maxillopoda;genus_Maxillopoda_X;species_Maxillopoda_X_sp.	0.9878826559775266
62e2d067142fa5ca2b3b76c94a0d06e0	 kingdom_Eukaryota;supergroup_Opisthokonta;division_Metazoa;class_Arthropoda;order_Crustacea;family_Maxillopoda;genus_Calocalanus;species_Calocalanus_plumulosus	0.9989450121224756
77857c94fe3e6082fd560b2685d742a7	 kingdom_Eukaryota;supergroup_Opisthokonta;division_Metazoa;class_Arthropoda;order_Crustacea;family_Maxillopoda;genus_Calocalanus;species_Calocalanus_sp.	0.9863908176325867
1ca64fcaedf0a687bc2f8af2f8329788	 kingdom_Eukaryota;supergroup_Opisthokonta;division_Metazoa;class_Arthropoda;order_Crustacea;family_Maxillopoda;genus_Neocalanus	0.8310056997167617
fd6af2b483d2435e4e0194d9064fa0f6	 kingdom_Eukaryota;supergroup_Opisthokonta;division_Metazoa;class_Cnidaria;order_Cnidaria_X;family_Hydrozoa	0.9999999992129676
5724d3709b492817c738931e927518aa	 kingdom_Eukaryota;supergroup_Alveolata;division_Dinoflagellata;class_Dinophyceae;order_Peridiniales;family_Amphidomataceae;genus_Azadinium	0.8525095773039029
d6a43631fa3b130a0b1eef193772c76e	 kingdom_Eukaryota;supergroup_Opisthokonta;division_Metazoa;class_Cnidaria;order_Cnidaria_X;family_Hydrozoa	0.9999999959385039
338aa2d76b056fa67d88426e6934c100	 kingdom_Eukaryota;supergroup_Opisthokonta;division_Metazoa;class_Arthropoda;order_Crustacea;family_Maxillopoda;genus_Calocalanus;species_Calocalanus_sp.	0.9999168314089716
97cf77f3a70bc2457a4611e1b0e7d283	 kingdom_Eukaryota;supergroup_Alveolata;division_Dinoflagellata;class_Syndiniales;order_Dino-Group-II;family_Dino-Group-II-Clade-22;genus_Dino-Group-II-Clade-22_X;species_Dino-Group-II-Clade-22_X_sp.	0.9999999998720739
4c6ca84d2b7d918a21f09b6c629e246b	 kingdom_Eukaryota;supergroup_Opisthokonta;division_Metazoa;class_Arthropoda;order_Crustacea;family_Maxillopoda;genus_Paracalanus	0.988103023090323
abcb52c7019b27c5478d7caa4fa20c26	 kingdom_Eukaryota;supergroup_Rhizaria;division_Radiolaria;class_Polycystinea;order_Collodaria;family_Collophidiidae	0.9999999999999981
174c8149511186b622912fc26f7a6b02	 kingdom_Eukaryota;supergroup_Alveolata;division_Dinoflagellata;class_Dinophyceae;order_Gymnodiniales;family_Gymnodiniaceae;genus_Gyrodinium	0.9569014848840613
8054d42570163e31b42e252df8b9dd21	 kingdom_Eukaryota;supergroup_Alveolata;division_Dinoflagellata;class_Dinophyceae;order_Gymnodiniales;family_Gymnodiniaceae;genus_Gyrodinium;species_Gyrodinium_dominans	0.9054556197354748
