# Constructed from biom file						
#OTU ID	1-200-3	1-200-8	1-300-0.22	1-60-3	10-20-3	taxonomy
74e27e47e725e9909472fc18d0a089de	0	0	0	11	0	kingdom_Eukaryota; supergroup_Alveolata; division_Dinoflagellata; class_Syndiniales; order_Dino-Group-II; family_Dino-Group-II-Clade-16; genus_Dino-Group-II-Clade-16_X; species_Dino-Group-II-Clade-16_X_sp.
3ef45de25c067c94bccfaac1acd13a1e	0	2	0	0	0	kingdom_Eukaryota; supergroup_Alveolata; division_Dinoflagellata; class_Syndiniales; order_Dino-Group-II; family_Dino-Group-II_X; genus_Dino-Group-II_XX; species_Dino-Group-II_XX_sp.
a4da3bb8303ca4f4c1f06cc46098c6a5	0	10	0	0	0	kingdom_Eukaryota; supergroup_Alveolata; division_Dinoflagellata; class_Dinophyceae; order_Gymnodiniales; family_Chytriodiniaceae; genus_Chytriodinium; species_Chytriodinium_affine
276c5722bdc9ef7c2f1ee132d44d6339	0	0	0	16	0	kingdom_Eukaryota; supergroup_Stramenopiles; division_Stramenopiles_X; class_MAST; order_MAST-4; family_MAST-4A; genus_MAST-4A_X; species_MAST-4A_X_sp.
1a521875cc165c8d28f25c1f2950e07a	0	0	0	16	0	kingdom_Eukaryota; supergroup_Rhizaria; division_Radiolaria; class_RAD-B; order_RAD-B_X; family_RAD-B-Group-I; genus_RAD-B-Group-I_X; species_RAD-B-Group-I_X_sp.
8e7fcbee802eb37ca2b717d124b76414	0	9	0	0	0	kingdom_Eukaryota; supergroup_Rhizaria; division_Radiolaria; class_Acantharea; order_Acantharea-Group-I; family_Acantharea-Group-I_X; genus_Acantharea-Group-I_XX; species_Acantharea-Group-I_XX_sp.
fc6ce23d05936a3eecd7f73d871b9e2f	0	0	0	4	0	kingdom_Eukaryota
c13eefc7fc385c372af8c75e682d9511	0	0	0	0	1	kingdom_Eukaryota; supergroup_Opisthokonta; division_Metazoa; class_Arthropoda; order_Crustacea; family_Maxillopoda; genus_Delibus
5007e99e0c7226cd02ff4275c772ec31	0	19	0	0	0	kingdom_Eukaryota; supergroup_Rhizaria; division_Radiolaria; class_Polycystinea; order_Spumellarida; family_Spumellarida-Group-I
1c3bf6f587f5f2cb9aa4e9506621b79a	0	0	0	7	0	kingdom_Eukaryota; supergroup_Alveolata; division_Dinoflagellata; class_Syndiniales; order_Dino-Group-II; family_Dino-Group-II-Clade-4; genus_Dino-Group-II-Clade-4_X; species_Dino-Group-II-Clade-4_X_sp.
